GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
llm-service,ar.edu.utn.frc.tup.piv.llm.api,ApiExceptionHandler,67,160,9,9,15,35,8,15,3,11
llm-service,ar.edu.utn.frc.tup.piv.llm.api,CourseContextController.CourseSummary,0,12,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,ModelDeploymentController,0,74,0,0,0,13,0,5,0,5
llm-service,ar.edu.utn.frc.tup.piv.llm.api,ModelDeploymentController.ModelDeploymentPage,0,6,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,ModelDeploymentController.ModelAdapterPage,0,6,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,RequestCorrelationFilter,2,111,4,10,1,25,4,7,0,4
llm-service,ar.edu.utn.frc.tup.piv.llm.api,TutorInteractionController,0,93,5,11,0,18,5,7,0,4
llm-service,ar.edu.utn.frc.tup.piv.llm.api,ProviderCredentialController.ChatResponse,0,12,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,GoldenSetImportController,0,85,0,0,0,1,0,6,0,6
llm-service,ar.edu.utn.frc.tup.piv.llm.api,GatewayUsageController.UsageReport,9,0,0,0,1,0,1,0,1,0
llm-service,ar.edu.utn.frc.tup.piv.llm.api,RubricController.RubricPage,0,6,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,GatewayUsageController,36,12,0,0,5,5,2,1,2,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,ProviderCredentialController,42,640,12,12,0,24,9,39,1,35
llm-service,ar.edu.utn.frc.tup.piv.llm.api,SyntheticGoldenSetController,0,44,1,3,0,10,1,3,0,2
llm-service,ar.edu.utn.frc.tup.piv.llm.api,CalibrationRunController.Request,0,12,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,RagController.ChatRequest,0,18,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,CalibrationActivationController,5,88,0,0,0,19,1,4,1,4
llm-service,ar.edu.utn.frc.tup.piv.llm.api,ModelAssignmentController,5,85,3,5,0,16,4,5,1,4
llm-service,ar.edu.utn.frc.tup.piv.llm.api,ProviderCredentialController.ChatRequest,0,6,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,CourseEvaluationStatusController.AssignmentPage,0,6,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,JwksEstadoController,40,6,0,0,8,3,1,1,1,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,SyntheticGoldenSetController.ProposeRequest,0,6,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,InstitutionalCalibrationController.Page,0,6,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,EligibleInteractionsController,0,59,0,0,0,13,0,4,0,4
llm-service,ar.edu.utn.frc.tup.piv.llm.api,CalibrationRunController.CalibrationPage,0,6,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,InstitutionalCalibrationController,0,99,0,0,0,5,0,8,0,8
llm-service,ar.edu.utn.frc.tup.piv.llm.api,CourseGoldenSetController,0,228,0,0,0,38,0,10,0,10
llm-service,ar.edu.utn.frc.tup.piv.llm.api,CourseEvaluationStatusController.PendingEvaluationPage,0,6,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,GoldenSetImportController.ImportRequest,0,12,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,ConversationController,0,54,0,0,0,12,0,4,0,4
llm-service,ar.edu.utn.frc.tup.piv.llm.api,ProviderCredentialController.CreateDeployment,0,15,0,0,0,1,0,2,0,2
llm-service,ar.edu.utn.frc.tup.piv.llm.api,CourseGoldenSetController.CreateGoldenSetDraft,0,6,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,GoldenSetUpdateProposalController,0,28,0,0,0,8,0,2,0,2
llm-service,ar.edu.utn.frc.tup.piv.llm.api,RubricTemplateCatalogController.TemplatePage,0,6,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,InstitutionalCalibrationController.ProfileRequest,0,9,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,CourseContextController.CoursePage,0,6,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.api,CourseContextController,22,66,3,3,1,12,4,4,1,4
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.infrastructure.messaging,ModerationNotificationClient,3,208,2,4,0,37,2,5,0,4
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.infrastructure.messaging,ModerationEventPublisher,0,134,0,0,0,31,0,4,0,4
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.api,ModerationGatewayAuthorization,0,80,3,15,0,20,3,9,0,3
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.api,ModerationCourseAuthorization,58,417,41,63,12,96,37,28,1,12
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.api,ModerationAppealController,0,79,5,9,0,21,5,6,0,4
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.api,ModerationDecisionController,12,25,0,0,3,8,1,2,1,2
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.api,ModerationIncidentResolveController,14,90,3,7,1,24,4,4,1,2
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.api,ModerationTeacherViewController,15,3,4,0,2,1,3,1,1,1
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.api,ModerationRetentionPolicyController,20,117,19,19,6,29,16,10,0,7
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.api,ModerationIncidentQueryController,0,114,1,1,0,39,1,5,0,5
llm-service,ar.edu.utn.frc.tup.piv.llm.configuration,GatewayIdentityFilter,0,308,5,39,0,53,5,28,0,11
llm-service,ar.edu.utn.frc.tup.piv.llm.configuration,WorkbenchCorsConfiguration,0,70,0,0,0,8,0,2,0,2
llm-service,ar.edu.utn.frc.tup.piv.llm.configuration,SecurityConfig,13,102,0,0,5,21,1,9,1,9
llm-service,ar.edu.utn.frc.tup.piv.llm.configuration,JwksRefreshJob.Estado,0,15,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.configuration,WorkbenchDemoCatalog.Course,0,12,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.configuration,HttpClientConfig,0,61,0,8,0,17,0,10,0,6
llm-service,ar.edu.utn.frc.tup.piv.llm.configuration,WorkbenchDemoCatalog,20,31,3,1,1,8,4,3,2,3
llm-service,ar.edu.utn.frc.tup.piv.llm.configuration,JwksRefreshJob,2,119,1,1,0,23,1,5,0,5
llm-service,ar.edu.utn.frc.tup.piv.llm.application.agent,QuotaExceededException,0,32,0,0,0,10,0,5,0,5
llm-service,ar.edu.utn.frc.tup.piv.llm.application.agent,AgentMentionService.Citation,0,12,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.application.agent,RagQueryService,15,125,7,9,5,28,7,6,0,5
llm-service,ar.edu.utn.frc.tup.piv.llm.application.agent,AgentMentionService.Response,2,14,1,1,1,3,1,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.application.agent,AgentMentionService.Request,9,28,1,1,3,3,1,2,0,2
llm-service,ar.edu.utn.frc.tup.piv.llm.application.agent,QuotaRegistry,6,220,2,6,2,47,2,14,0,12
llm-service,ar.edu.utn.frc.tup.piv.llm.application.agent,AgentMentionService,9,320,5,19,2,63,5,13,0,6
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.tutor,Message,0,27,0,0,0,2,0,2,0,2
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.tutor,Conversation,0,95,0,8,0,11,0,10,0,6
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.rag,TextChunker,16,205,7,27,3,44,6,15,0,4
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.rag,ExtractedPdf,0,12,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.rag,DocumentChunk,0,52,0,0,0,3,0,3,0,3
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.rag,ExtractedPage,0,9,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.rag,ImageDetection,0,24,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.rag,RagDocument,0,30,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.rag,DiagramDecodeResult,0,35,0,0,0,3,0,2,0,2
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,ProviderCredentialRepository.Usage,0,15,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,CalibrationRunRepository.Profile,0,12,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,CalibrationRunRepository,20,943,1,23,2,78,2,53,1,42
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,ConversationRepository,0,176,0,4,0,29,0,8,0,6
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,JdbcCalibrationWorkflowStore,0,184,0,4,0,9,0,12,0,10
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,ProviderCredentialRepository.Deployment,0,30,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,CalibrationRunRepository.Run,0,99,0,2,0,5,0,4,0,3
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,FunctionModelConfigRepository,0,74,0,0,0,13,0,5,0,5
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,CalibrationReproducibilityRepository,34,54,0,0,0,1,1,3,1,3
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,CalibrationRunRepository.Execution,0,18,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,MessageRepository,0,77,0,0,0,9,0,4,0,4
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,ProviderCredentialRepository,56,569,8,12,2,30,9,31,3,27
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,CalibrationRunRepository.Deployment,0,21,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,RubricVersionRepository,23,821,6,10,0,64,6,33,0,31
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,CourseEvaluationStatusRepository,0,117,0,0,0,5,0,7,0,7
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,RubricVersionRepository.FamilyVersion,0,9,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,ChallengeCalibrationAssignmentRepository,6,157,0,10,0,6,0,12,0,7
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,PgVectorStoreAdapter,1,290,4,12,0,37,4,13,0,9
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,RagDocumentRepository,0,165,0,2,0,19,0,9,0,8
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,CourseGoldenSetRepository.Source,0,9,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,CalibrationCaseResultRepository,36,6,0,0,2,3,1,1,1,1
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,CalibrationRunRepository.Case,0,15,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,ChallengeCalibrationAssignmentRepository.Row,0,12,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,CourseGoldenSetRepository,16,832,3,23,1,70,3,40,0,30
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,ProviderCredentialRepository.Credential,0,30,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,AuditRepository,0,50,0,0,0,3,0,2,0,2
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,GoldenSetUpdateProposalRepository,0,64,0,0,0,6,0,4,0,4
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,ProviderCredentialRepository.CredentialSummary,0,24,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,ModelDeploymentRepository,22,38,1,1,5,12,1,3,0,3
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,FunctionModelConfigRepository.Config,0,15,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,GoldenSetImportRepository,0,323,0,12,0,11,0,20,0,14
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.persistence,IdempotencyRepository,19,131,3,3,1,14,3,5,0,5
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.api.mapper,ModerationAppealApiMapper,0,27,0,0,0,11,0,2,0,2
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.api.mapper,ModerationApiMapper,0,35,0,0,0,15,0,2,0,2
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.application,ModerationIncidentResolveService,0,218,0,26,0,54,0,16,0,3
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.application,ModerationIncidentQueryService,12,208,8,14,3,53,8,8,0,5
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.application,ModerationDegradationService,14,360,9,25,4,70,11,15,2,7
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.application,ModerationAppealService,24,151,8,18,4,32,8,10,0,5
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.application,ModerationPurgeService,21,243,3,9,4,49,3,8,0,5
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.application,ModerationPurgeService.PurgeExecutionSummary,0,18,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.application,ModerationMetricsService,9,234,6,10,1,41,7,9,1,7
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.application,ModerationDecisionService,10,391,10,28,1,86,10,24,0,15
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.application,ModerationEvidencePurgeJob,5,28,0,0,2,10,0,3,0,3
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.application,ModerationDataPurgeJob,0,17,0,0,0,7,0,3,0,3
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.application,ModerationMetricsService.ModerationMetricsSummary,0,30,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.application,ModerationRetentionPolicyService,0,186,0,30,0,48,0,19,0,4
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.infrastructure.detector,DeterministicModerationEngine,0,16,0,0,0,5,0,3,0,3
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.infrastructure.detector,ProfanityDetector,20,296,13,35,7,74,12,21,0,9
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.infrastructure.detector,TextNormalizationPipeline,0,199,0,25,0,57,0,26,0,7
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.infrastructure.detector,CodeObfuscationDetector,12,299,4,24,4,50,4,18,0,8
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.infrastructure.detector,SpamDetector,0,216,3,23,0,45,3,15,0,5
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.infrastructure.detector,CompositeModerationDetector,0,105,0,4,0,23,0,7,0,5
llm-service,ar.edu.utn.frc.tup.piv.llm,LlmServiceApplication,5,3,0,0,2,1,1,1,1,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.goldenset,ImportBatch,0,18,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.goldenset,GoldenSetDetail.CaseItem,0,15,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.goldenset,GoldenSetDetail,0,24,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.goldenset,CourseGoldenSetView,0,24,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.goldenset,ImportRow,0,9,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.goldenset,CourseGoldenSetVersion,0,18,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.goldenset,GoldenSetCaseInput,0,21,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.goldenset,GoldenSetCaseDetail,0,15,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.goldenset,GoldenSetUpdateProposal,0,24,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.goldenset,GoldenSetCaseSummary,0,15,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.rag,PdfTextExtractionAdapter,7,100,3,9,1,25,3,6,0,3
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.rag,PdfDiagramDetectionAdapter,51,712,23,71,11,130,23,36,0,12
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.rag,PdfDiagramDetectionAdapter.SpatialTextCollector,0,79,4,6,0,14,4,4,0,3
llm-service,ar.edu.utn.frc.tup.piv.llm.infrastructure.rag,PdfDiagramDetectionAdapter.SpatialTextItem,0,18,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.domain.port,ModerationDetectorPort,0,5,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.domain.port,DeterministicModerationPort,0,6,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.application.exception,AppealAlreadyExistsException,0,11,0,0,0,4,0,2,0,2
llm-service,ar.edu.utn.frc.tup.piv.llm.security,TutorGatewayAuthorization,0,96,0,10,0,19,0,7,0,2
llm-service,ar.edu.utn.frc.tup.piv.llm.security,CallerIdentity,0,15,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.security,RagGatewayAuthorization,0,98,0,12,0,19,0,8,0,2
llm-service,ar.edu.utn.frc.tup.piv.llm.security,CourseAuthorization,45,115,21,21,5,15,18,12,1,8
llm-service,ar.edu.utn.frc.tup.piv.llm.security,GoldenSetAuthorization,0,118,0,10,0,20,0,10,0,5
llm-service,ar.edu.utn.frc.tup.piv.llm.moderation.infrastructure.resilience,ModerationResilienceConfig,45,60,0,0,2,26,2,6,2,6
llm-service,ar.edu.utn.frc.tup.piv.llm.shadow.application,ShadowRunWorker,13,19,0,0,2,7,2,2,2,2
llm-service,ar.edu.utn.frc.tup.piv.llm.shadow.application,ShadowRunService,0,202,2,28,0,35,2,19,0,6
llm-service,ar.edu.utn.frc.tup.piv.llm.shadow.application,ShadowRunService.Command,0,18,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.shadow.application,ShadowRunStore.NewRun,0,30,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.shadow.application,ShadowEvaluationRunner,11,297,2,12,3,58,2,12,0,7
llm-service,ar.edu.utn.frc.tup.piv.llm.shadow.application,ShadowSampleSource.Sample,0,15,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.ai,FunctionModelConfig,0,15,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.ai,ModelInvocationResult,0,26,0,0,0,3,0,2,0,2
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.ai,ModelDeploymentSummary,0,18,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.ai,BudgetExceededException,3,7,0,0,1,3,1,1,1,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.ai,InputGuard,0,157,0,4,0,9,0,6,0,4
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.ai,ModelFunction,0,33,0,0,0,2,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.ai,EmbeddingResult,0,12,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.ai,InvalidModelResponseException,0,4,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.ai,EmbeddingTimeoutException,0,4,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.ai,ProviderUnavailableException,0,4,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.ai,ModelTimeoutException,0,4,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.ai,JsonObjectExtractor,0,86,0,24,0,26,0,14,0,2
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.ai,ModelResponseSchema,17,110,9,18,3,25,9,11,0,6
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.ai,ModelInvocationRequest,15,41,6,6,0,7,6,2,0,2
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.ai,InvalidEmbeddingException,0,4,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain.ai,OutputAntiLeakGuard,2,42,3,9,0,9,3,6,0,3
llm-service,ar.edu.utn.frc.tup.piv.llm.domain,CalibrationStateMachine.CalibrationState,0,33,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain,CalibrationMetrics.CaseScores,14,67,5,7,0,11,5,3,0,2
llm-service,ar.edu.utn.frc.tup.piv.llm.domain,RealCaseAnonymizer,0,101,0,12,0,3,0,9,0,3
llm-service,ar.edu.utn.frc.tup.piv.llm.domain,RubricValidator,15,71,7,13,3,14,7,5,0,2
llm-service,ar.edu.utn.frc.tup.piv.llm.domain,CalibrationStateMachine.EvaluationState,0,27,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain,CalibrationStateMachine,7,52,4,11,1,9,4,9,1,4
llm-service,ar.edu.utn.frc.tup.piv.llm.domain,RubricValidator.DimensionDefinition,0,9,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain,CalibrationMetrics.Result,0,12,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain,CalibrationMetrics.Dimension,0,33,0,0,0,1,0,1,0,1
llm-service,ar.edu.utn.frc.tup.piv.llm.domain,TranscriptSanitizer,5,13,1,1,0,1,1,1,0,1
